doi,sentence
10.1371/journal.pcbi.1008904,The full synthetic dataset is available at: https://github.com/wesleymarin/KIR_synthetic_data.
10.1371/journal.pcbi.1008904,The synthetic KIR sequence dataset is available at https://github.com/wesleymarin/KIR_synthetic_data.
10.3389/fnins.2018.00803,Codes can be found here: https://github.com/cclairec/Iterative_Centroid and synthetic data can be found here: https://doi.org/10.5281/zenodo.1420395.
10.1038/srep37329,The datasets of synthetic networks can be downloaded at: http://scg.ifsc.usp.br/LLNA.
10.1038/srep42460,"This code, together with R scripts that generate the synthetic datasets and reproduce all reported results starting from the raw microarray data, are available at the GitHub repository https://github.com/carlosproca/geneexpr-norm-paper and in the Supplementary Data File gene-expr-norm.zip."
10.12688/f1000research.53821.2,"We provide advanced installation guides as well as further information about the implemented snpQT processes, the synthetic toy dataset and the real-world ALS dataset results in the online documentation at
https://snpqt.readthedocs.io/en/latest/."
10.1038/s41597-020-0434-6,"Besides a statistical analysis of commercial and residential energy datasets, the authors of14 released SHED (https://nilm.telecom-paristech.fr/shed/), a synthetic dataset with focus on commercial buildings."
10.3390/s19214794,These synthetic images were generated under the photorealistic Unreal (https://www.unrealengine.com) game engine and also released as an open-source dataset (see Supplementary Material).
10.3390/s20205941,The synthetic Apollo dataset (https://apollo.auto/synthetic.html) is one of the largest photo-realistic synthetic datasets for autonomous driving currently.
10.1155/2020/8841354,The synthetic signal was generated with “Dipole-Simulator” (BESA Tool version; it can be downloaded from: http://www.besa.de/updates/tools).
10.3390/s21051892,"In order to evaluate performance of the proposed KPKM model (equivalent to KFCM at m = 1) solved by the FAGP algorithm, we have conducted a lot of experiments on one synthetic dataset, ten UCI datasets (http://archive.ics.uci.edu/ml (accessed on 8 March 2021)) and the MNIST dataset (http://yann.lecun.com/exdb/mnist/ (accessed on 8 March 2021))."
10.1155/2016/7386517,"Outlier records of synthetic datasets HTTP and SMTP are known in order to evaluate our methods on live deep web database https://autos.yahoo.com/, which are precision, recall, and F-measure."
10.1016/j.mcpro.2021.100171,"The MaxQuant search results of the synthetic dataset used to evaluate Delta RT and spectral similarity were downloaded from PRIDE (https://www.ebi.ac.uk/pride/) with accession number PXD000138, which included 96 peptide libraries generated from 96 seed peptides."
10.1016/j.mcpro.2021.100171,"For the synthetic dataset used to evaluate Delta RT and spectral similarity, search results were downloaded from PRIDE (https://www.ebi.ac.uk/pride/) with accession number PXD000138 (MaxQuant version 1.3.0.3, human IPI v3.72 supplemented with synthesized libraries)."
10.3390/s20041176,"The raw data—i.e., bidirectional network traffic—was analyzed with a tool CICFlowMeter (http://www.netflowmeter.ca/netflowmeter.html) to produce 83 high-level statistical feature vectors.Agots: Anomaly Generator on Time Series (Agots) is an anomaly generation tool to produce completely synthetic multivariate data streams with the option to define (1) the number of values in each time series, (2) the number of time series and (3) the number of time series that should correlate."
10.1007/s11548-019-01962-w,"Additionally, we publish the, to the best of our knowledge, first dataset of synthetic colonoscopy images with corresponding depth here: http://cmic.cs.ucl.ac.uk/ColonoscopyDepth."
10.3390/jimaging7090169,"To generate real training dataset pairs, we used the 300W-LP dataset and synthetic data from FaceGen (https://facegen.com/(accessed on 28 August 2021))."
10.1038/s41467-018-04368-5,The synthetic data used in this study are available from bitbucket repo: https://bitbucket.org/jerry00/scvis-dev.
10.1371/journal.pcbi.1007406,The code used to generate synthetic microscopy data is also freely available at https://github.com/sebastianbernasek/growth.
10.3389/frai.2021.612551,"A small Python library which can generate and sample synthetic BNs was developed, and can be found at: https://pypi.org/project/BayNet/."
10.12688/wellcomeopenres.12441.1,"The ALSPAC dataset (project number B2506) these synthetic data are simulated from can be obtained from ALSPAC through the standard ALSPAC research proposal and data access policy
http://www.bristol.ac.uk/alspac/researchers/access/."
10.12688/wellcomeopenres.12441.1,"The synthetic data described in this paper are available at the University of Bristol data repository, data.bris, at
https://doi.org/10.5523/bris.3116aupg8mfgi23pnslu8tulev
7"
10.1371/journal.pone.0256648,"Although our algorithm was developed for gene expression data, for assessing its effectiveness of selecting informative features with imbalanced general data, we used three additional datasets: one synthetic dataset, one cross-domain dataset (i.e., MNIST [14], which is from the computer vision field), and one AD RNA dataset from the Mount Sinai Brain Bank Array Tissue Panel Study (MSBB_ArrayTissuePanel) See link https://www.synapse.org/#!Synapse:syn3157699."
10.1371/journal.pone.0254340,Further details about the synthetic datasets together with the code can be found on our public GitHub repository (https://github.com/group-automorphism/exam_cheating).
10.1038/s41592-021-01103-9,"We then applied the synthetically trained model to real video data (see ‘1 - Videos/Synthetic-DLC_Performance.mp4’ at https://osf.io/h3ec5/)2 and assessed its performance by comparing the model to multiple models trained on various subsets of a manually labeled 1,280-frame project."
10.1038/s41592-021-01103-9,"The digital mouse was created within Blender and is animation-ready providing a foundation for the generation of synthetic data of behaving mice (Supplementary Video 1, https://osf.io/h3ec5/, note: Blender v2.83+ required to illustrate full model)."
10.1038/s41592-021-01103-9,"While the added utility (in generating additional training data for a new camera view for example) of the model may or may not be sufficient motivation for every researcher to adopt this approach, the true power of the synthetic approach will be realized if and when adopted for team science projects21 with standardized rigs (such as the IBL example; https://osf.io/h3ec5, IBL-scene_non-rendered_demo.mp4)."
10.3389/fgene.2019.00736,Benchmarking scripts and commands used to generate synthetic data and accuracy comparisons are available at https://github.com/ncsa/Sentieon_DNASeq_Benchmarking.
10.1016/j.patter.2022.100453,"Both VCs generated by SASC and Synthea share a common principle: the longitudinal component in terms of medical visits (called “encounters” in Synthea output) is generated patient-by-patient like a storybook in development.15 The major difference between the two is that Synthea generates a mixed population of sick versus healthy VPs, while SASC generates only VPs with a predefined ratio of outcomes (Figure 1
).Figure 1Different workflows for data generation(A and B) Schema followed for the generation of data for (A) Synthea (from GitHub: https://synthetichealth.github.io/module-builder/#covid19/symptoms) and (B) SASC."
10.1016/j.patter.2022.100453,(A and B) Schema followed for the generation of data for (A) Synthea (from GitHub: https://synthetichealth.github.io/module-builder/#covid19/symptoms) and (B) SASC.
10.1016/j.patter.2022.100453,"The reference COVID-19 dataset was obtained from the Clinical Practice Research Datalink (CPRD).20 This synthetic dataset was based on real, anonymized, primary care patient data extracted from the CPRD Aurum database (https://www.cprd.com/primary-care).21 Patients were typically in primary care with symptoms of COVID-19 (confirmed/suspected) and control participants with a negative COVID-19 test result."
10.1038/s41597-021-00989-6,A more detailed note about the dataset and a Jupyter notebook with Python script to explore the dataset are available at the dataset’s GitHub page (https://lbnl-eta.github.io/AlphaBuilding-SyntheticDataset).
10.3389/frai.2021.613956,Synthetic data: https://doi.org/10.34688/fpv7-b321
